claim_id,manuscript_claim,evidence_type,numerical_result,primary_source_files,inferential_status,live_alternative_or_limit,decisive_next_test
DTU-C01,The surviving archive covers three brain regions at eight stages with two biological replicates per region-stage cell.,design inventory,48 samples; 24 region-stage cells; 2 replicates per cell,tables/manuscript_numbers.csv; tables/encode_library_provenance.csv,descriptive and archive-supported,Archived sample suffixes are not linked to portal replicate numbers.,Recover the original run manifest and raw-input-to-matrix mapping.
DTU-C02,Most detected DTU genes belong to a three-region shared core.,primary archive reanalysis,2749 union genes; 1902 shared (69.2%),tables/dtu_membership_counts.csv; tables/counter_audit_summary.csv,archive-supported detection pattern,Membership depends on within-contrast thresholds and is not strict tissue specificity.,Re-estimate from raw counts under one joint region-by-stage model with batch covariates.
DTU-C03,The dominant temporal anomaly is an E15.5-centred midbrain peak.,adjacent-stage contrast inventory,941 genes at E14.5-E15.5; 1011 at E15.5-E16.5,tables/adjacent_stage_counts.csv; tables/audit_threshold_sensitivity.csv,"robust within the archive, not independently replicated",E14.5 crosses a collection-source boundary; E15.5/E16.5 are pooled tissues; cell composition and coordinated technical effects remain possible.,"Independent, balanced forebrain/midbrain/hindbrain collection at E14.5/E15.5/E16.5 processed in one randomized design."
DTU-C04,A globally calibrated scan resolves the peak into diverge-reconverge isoform episodes.,"global 300,408-test transient scan",1348 episodes in 735 genes; arbitrary-dependence sensitivity retains 852 episodes in 474 genes and the same leading six,data/transient_regional_filtered_isoform_fractions.csv; data/transient_regional_pair_tests_all.csv; data/transient_regional_stage_evaluations_all.csv; data/transient_regional_isoform_episodes.csv; data/transient_regional_isoform_episodes_conservative.csv; tables/transient_regional_scan_diagnostics.csv; tables/transient_regional_dependence_sensitivity.csv,discovery analysis with complete-family component-test adjustment and arbitrary-dependence sensitivity; no episode-level FDR claim,"The complete expression-filtered family is corrected, but the trajectory rules were formulated after archive inspection.",Apply the locked scan and candidate panel to an independent cohort.
DTU-C05,The calibrated episodes are concentrated in single-stage E15.5 midbrain events.,episode classification,1203/1348 episodes (89.2%); 145 other episodes,tables/transient_regional_episode_summary.csv; tables/transient_regional_scan_diagnostics.csv,archive-supported concentration,Concentration can arise from one stage-specific batch or composition shift.,Replication across independent litters with stage labels concealed during processing and quantification.
DTU-C06,Simple transcript-end dominance or a systematic shift toward shorter products does not explain the E15.5 episode set.,post hoc structural counter-audit,"higher-versus-lower median length difference -72 nt, P=0.627; reciprocal-gene shorter fraction 0.526, P=0.318",tables/e155_episode_event_bias.csv; tables/e155_episode_artifact_tests.csv,negative control against two simple artefact classes,"Does not exclude mapping ambiguity, read-position bias, reference error or sequence-dependent quantification.",Junction-specific counting plus full-length long-read confirmation from new RNA.
DTU-C07,A focused region-by-stage curvature model supports an E15.5-specific archive signal.,post hoc satuRn sensitivity model,429/4577 genes at per-gene q<0.05; 914 transcripts at empirical FDR<0.05,data/joint_interaction_genes.csv; data/joint_interaction_isoforms.csv; tables/joint_interaction_summary.csv,"concordant sensitivity analysis, not validation",Uses the same abundance-scaled archive and a contrast chosen after seeing the peak.,Fit a prespecified model to raw independent counts with batch and composition terms.
DTU-C08,The six-gene panel deliberately spans distinct evidence axes rather than forming one composite ranking.,candidate counter-audit,Scg3/Gpm6a: scan rank; Armc8/Tecr: cross-model support; Bin1: effect size; Ntrk2: domain interpretation,tables/candidate_counter_audit.csv; tables/candidate_mechanism_crosswalk.csv,prespecified validation panel derived from discovery data,All candidates were selected after inspecting the same archive.,Test all six without reranking in an independent three-region by three-stage experiment.
DTU-C09,The archive does not establish a biological developmental programme or mechanism.,claim boundary,two replicates per cell; bulk short-read RNA; unresolved dissection/pool batch; no independent cohort,tables/encode_midbrain_provenance.csv; tables/encode_e155_pool_audit.csv; tables/input_provenance_audit.csv,not established,"Changing neural, glial or vascular composition and coordinated technical effects remain live explanations.",Independent junction and long-read replication followed by sorted or single-cell-type measurement.
DTU-C10,The frozen accession-pair directions do not depend on selecting one archived replicate suffix over the other.,exhaustive replicate-choice sensitivity audit,all 6 pairs retain reciprocal expected directions in 512/512 one-replicate-per-cell combinations,tables/candidate_replicate_choice_audit.csv,"exhaustive archive sensitivity analysis, not independent validation","All combinations reuse the same archived samples, and suffixes are not linked to portal biological-replicate numbers.",Prespecified three-region by three-stage replication in independent embryos/litters.
