check_id,adversarial_question,status,evidence,consequence_if_failed
AA01,Is the advertised complete test family arithmetically complete?,PASS,"12,517 isoforms x 3 regional pairs x 8 stages = 300,408 tests.",The global adjustment family or manuscript denominator would be wrong.
AA02,"Are all component tests present once, finite after fail-closed replacement, and monotonically adjusted?",PASS,"300,408 unique rows; 12,517 isoforms x 24; 4,577 genes; exact BH mismatches=0; exact BY mismatches=0; exact gene-adjustment mismatches=0; other violations=0.",The global/BY sensitivity results could not be independently trusted.
AA03,Can every released target-region evaluation be reconstructed from the complete pair tests?,PASS,"300,408 stage evaluations; pair-orientation/arithmetic mismatches=0.","Episode direction, magnitude or q-value lineage could be internally inconsistent."
AA04,"Does every primary episode satisfy the published q, effect, geometry, flank and replicate rules?",PASS,"1,348 rows checked; fraction matrix complete=True; criterion failures=0; reciprocal-flag failures=0; replicate-separation mismatches=0.",The central episode count would contain calls not generated by the stated algorithm.
AA05,Do all conservative BY/Bonferroni calls satisfy the conservative rules and remain a subset of the primary calls?,PASS,852 rows checked; criterion failures=0; reciprocal-flag failures=0; replicate-separation mismatches=0; non-primary keys=0.,The arbitrary-dependence sensitivity would not be a reproducible conservative subset.
AA06,Are headline episode totals derivable from row-level calls rather than summaries alone?,PASS,"Primary: 1,348/735, E15.5=1,203, other=145, all midbrain; conservative: 852/474, E15.5=817, other=35.",The abstract's dominant quantitative result would be a summary-table artefact.
AA07,Does the leading panel survive the arbitrary-dependence specification without manual substitution?,PASS,"Primary and BY/Bonferroni leaders are Scg3, Gpm6a, Ntrk2, Tecr, Armc8 and Bin1.",Candidate selection would be sensitive to the dependence correction or manual reranking.
AA08,Can one favourable replicate suffix explain any frozen candidate direction?,PASS,All six accession pairs retain both expected directions in all 512 logit and raw-fraction selections.,The panel could be an artefact of choosing one archived replicate suffix.
AA09,Do the proposed archived targets actually discriminate their accession pairs within each archived gene?,PASS,"34 preferred 40-nt junction anchors pass within-gene checks; lower Armc8 has zero and uses a 2,242-nt terminal segment.",The validation plan could specify an impossible or non-discriminating assay.
AA10,Does exon-plus-mm10 reconstruction contradict surviving archived candidate sequences?,PASS,10/10 surviving sequences match exactly; 12/12 reconstructions contain zero ambiguous bases; two Scg3 sequences lack comparators.,Coordinate-to-sequence lineage would be unreliable.
AA11,Does the joint-panel grid implement the full proposed rule rather than multiplying marginal power?,PASS,"1,920 unique bounded scenarios; independent-statistic closed-form failures=0.",The proposed recruitment could be underpowered for the actual compound success rule.
AA12,Are recruitment inflations exact minima rather than rounded heuristics?,PASS,72 scenarios; non-minimal or under-assured rows=0.,The collection could miss its analyzable-unit target more often than stated.
AA13,Can every central claim be traced to an existing released source?,PASS,12 ordered claims; missing source references=0.,The claim ledger would provide apparent rather than executable provenance.
AA14,Can every displayed panel be traced to an extant source and regeneration script?,PASS,24 display mappings; explicit external-audit entries=5; missing assets/sources=0.,Figures or tables could not be independently regenerated from their claimed lineage.
AA15,Does the manuscript state the component-test/episode-FDR boundary and avoid converting discovery into mechanism?,PASS,"Required no-episode-FDR, no-mechanism and non-independence language is present with all headline counts.",Readers could interpret adjusted component tests as controlled episode discoveries or biological mechanism.
AA16,Does the deterministic release allow-list include the adversarial evidence needed to challenge the study?,PASS,"Audit report, decision record, protocol, power guide, all scripts and all data/table CSVs are allow-listed; the release builder consumes both configured fields and the PDF builder fixes source-date metadata.",A locally passing audit could disappear from the public package.
AA17,Has a genuinely independent cohort established biological replication?,EXTERNAL_BOUNDARY,No: all current models reuse the same 48 archived sample columns.,"The E15.5 discontinuity remains a discovery anomaly, not a replicated developmental programme."
AA18,Have full-length structure and cellular origin been established?,EXTERNAL_BOUNDARY,"No: exact primers/probes, product sequencing, long reads and matched neural/glial/vascular measurements require new material.",Quantification artefact and changing cell composition remain viable explanations.
AA19,Can the archive be reproduced from exact raw files and frozen quantifier/annotation versions?,EXTERNAL_BOUNDARY,"No: the original raw-file manifest, RefSeq release, Salmon/index version and complete hand-off are unresolved.","Exact reproducibility begins at the archived regional objects, not FASTQ."
AA20,Is the package legally and administratively depositable?,EXTERNAL_BOUNDARY,"No: licence, source-rights confirmation, final authorship metadata and persistent repository identifier are absent.",The audit build is not an authorized public release.
