figure_id,pdf_asset,pdf_width_in,pdf_height_in,pdf_width_mm,pdf_height_mm,png_asset,png_width_px,png_height_px,png_dpi,pdf_font_families,pdf_fonts_embedded,palette_strategy,non_colour_encoding,display_source_manifest_rows,visual_review_status,review_date,remaining_target_specific_check
Figure 1,figures/thesis_delayed_response.pdf,not recorded,not recorded,not recorded,not recorded,not applicable,not applicable,not applicable,not applicable,"thesis source PDF",not audited,"original thesis palette","faceted accession labels; dashed divergence intervals",1,pass at compiled page size,2026-08-01,"confirm thesis/BioRender or component-art publication terms if applicable"
Figure 2,figures/figure1_dtu_landscape.pdf,7.194,6.194,182.7,157.3,figures/figure1_dtu_landscape.png,2160,1860,300,"Arial; Arial Bold",yes,"Okabe-Ito categorical colours plus neutral grey","region and membership labels; direct value labels",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure 3,figures/figure2_temporal_dtu.pdf,9.194,7.000,233.5,177.8,figures/figure2_temporal_dtu.png,2760,2100,300,"Arial; Arial Bold",yes,"monotonic blue heatmap plus Okabe-Ito categorical colours","heatmap values printed in cells; region encoded by point shape and line type",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure 4,figures/figure6_transient_regional_episodes.pdf,7.194,8.194,182.7,208.1,figures/figure6_transient_regional_episodes.png,2160,2460,300,"Arial; Arial Bold",yes,"colourblind-safe orange and blue plus neutral light blue","exact stage totals labelled; region encoded by line type; candidates separated by facets",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure 5,figures/figure7_candidate_mechanism.pdf,7.194,6.150,182.7,156.2,figures/figure7_candidate_mechanism.png,2158,1845,300,"Arial; Arial Bold; Arial Italic; Arial Bold Italic",yes,"Okabe-Ito blue, vermillion, green and purple plus neutral grey","accession direction shown by arrows; four evidence axes are separated into labelled boxes; all candidate priorities are stated in text",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure 6,figures/figure3_splicing_architecture.pdf,7.194,4.792,182.7,121.7,figures/figure3_splicing_architecture.png,2160,1440,300,"Arial; Arial Bold",yes,"Okabe-Ito categorical colours","region encoded by point shape",1,pass,2026-07-30,"recheck final placement size after journal selection"
Figure 7,figures/figure4_go_enrichment.pdf,9.194,6.000,233.5,152.4,figures/figure4_go_enrichment.png,2760,1800,300,"Arial; Arial Bold",yes,"viridis plasma continuous scale plus blue and grey","term identity and estimates are position encoded; confidence intervals shown; exact FDR values released",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure S1,figures/figureS1_sample_pca.pdf,7.194,5.389,182.7,136.9,figures/figureS1_sample_pca.png,2160,1620,300,"Arial; Arial Bold",yes,"Okabe-Ito categorical colours","developmental stage encoded by point shape; exact coordinates released",1,pass,2026-07-30,"recheck final placement size after journal selection"
Figure S2,figures/figureS2_threshold_robustness.pdf,8.292,5.194,210.6,131.9,figures/figureS2_threshold_robustness.png,2490,1560,300,"Arial; Arial Bold",yes,"Okabe-Ito categorical colours plus neutral grey","set and contrast encoded by point shape; direct value labels",2,pass,2026-07-30,"recheck final placement size after journal selection"
Figure S3,figures/figure5_candidate_trajectories.pdf,8.292,4.889,210.6,124.2,figures/figure5_candidate_trajectories.png,2490,1470,300,"Arial; Arial Bold",yes,"Okabe-Ito categorical colours","transcript encoded by point shape and line type; gene faceting",1,pass,2026-07-30,"recheck final placement size after journal selection"
Figure S4,figures/figureS4_e155_artifact_audit.pdf,9.194,4.792,233.5,121.7,figures/figureS4_e155_artifact_audit.png,2760,1440,300,"Arial; Arial Bold",yes,"Okabe-Ito vermillion and blue plus neutral grey","cohort encoded by point shape; direction separated by axis category",2,pass,2026-07-30,"recheck final placement size after journal selection"
