"gene","calibrated_scan_rank","expected_direction","accession","paired_accession","archived_exons","archived_junctions","pair_discriminating_junctions","archived_gene_unique_junctions","preferred_junction_coordinate_candidates","preferred_junction_sequence_candidates","reconstructed_transcript_length_nt","archived_sequence_survives","exact_match_to_archived_sequence","archived_gene_unique_exonic_segments","gene_unique_segments_at_least_20nt","longest_gene_unique_segment_nt","recommended_archived_target_class","assay_design_status"
"Scg3",1,"higher","NM_009130","NM_001164790",12,11,1,1,1,1,2207,FALSE,NA,1,0,15,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Scg3",1,"lower","NM_001164790","NM_009130",12,11,1,1,1,1,2192,FALSE,NA,0,0,0,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Gpm6a",2,"higher","NM_001253754","NM_153581",7,6,1,1,1,1,2966,TRUE,TRUE,1,1,217,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Gpm6a",2,"lower","NM_153581","NM_001253754",7,6,1,1,1,1,3337,TRUE,TRUE,0,0,0,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Ntrk2",3,"higher","NM_008745","NM_001025074",13,12,2,2,2,2,7030,TRUE,TRUE,2,2,5009,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Ntrk2",3,"lower","NM_001025074","NM_008745",18,17,7,7,7,7,8744,TRUE,TRUE,7,7,5803,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Tecr",4,"higher","NM_134118","NM_027179",13,12,2,2,2,2,1174,TRUE,TRUE,1,1,45,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Tecr",4,"lower","NM_027179","NM_134118",12,11,1,1,1,1,1129,TRUE,TRUE,0,0,0,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Armc8",5,"higher","NM_028768","NM_001166138",22,21,10,10,10,10,4628,TRUE,TRUE,10,10,2387,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Armc8",5,"lower","NM_001166138","NM_028768",12,11,0,0,0,0,3629,TRUE,TRUE,1,1,2242,"archived-gene-unique exonic segment fallback","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Bin1",6,"higher","NM_001083334","NM_009668",15,14,2,2,2,2,2122,TRUE,TRUE,0,0,0,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
"Bin1",6,"lower","NM_009668","NM_001083334",19,18,6,6,6,6,2455,TRUE,TRUE,4,4,108,"archived-gene-unique splice junction","Coordinate audit only; no primer or probe is frozen until annotation, reference sequence and in-silico specificity are prospectively approved"
