specification_id,status,methylation_summary,rna_summary,inferential_unit,statistic,multiplicity_family,selection_rule,selected_rows,minimum_q,role,randomisation_selected_rows,minimum_randomisation_q
S01,archived comparator,archived quantile-normalized stage average with inherited strand-sensitive overlap,stage-level relative isoform fraction,developmental stage,Pearson correlation with parametric t reference,separate BH family within each genomic-region class,archived q < 0.05,131,0.00807158,historical result; not the primary reconstruction,not applicable,not applicable
S02,primary effect / parametric screen,strand-agnostic coverage-weighted CpG mean; replicate-retaining stage mean,replicate-retaining stage mean relative isoform fraction,eight developmental stages,Pearson correlation with parametric t reference,"one BH family across 11,002 fixed tests",global q < 0.05,3,0.0382298,effect-ranking screen; parametric reference only,not applicable,not applicable
S03,exchangeability-based sensitivity calibration,same profiles as S02,same profiles as S02,developmental stage,two-sided exhaustive stage-label randomisation under an exchangeability null,"one BH family across all 10,986 valid randomisation tests",global randomisation q < 0.05,0,0.0908234,sensitivity analysis; ordered developmental stages are not plausibly exchangeable,0,0.0908234
S04,measurement-summary sensitivity,strand-agnostic unweighted CpG mean,stage mean relative isoform fraction,developmental stage,Pearson correlation with parametric t reference,one BH family across the fixed test set,global q < 0.05,0,0.0998234,tests dependence on CpG coverage weighting,not applicable,not applicable
S05,overlap-rule sensitivity,coverage-weighted CpG mean with inherited strand-sensitive overlap,stage mean relative isoform fraction,developmental stage,Pearson correlation with parametric t reference,one BH family across the fixed test set,global q < 0.05,0,0.114689,diagnoses the inappropriate gene-strand inheritance,not applicable,not applicable
S06,temporal-shape diagnostic,linear-trend residual of S02 stage profile,linear-trend residual of stage usage profile,ordinal stage positions 0--7; P0 treated as next observation,Pearson correlation with parametric t reference,one BH family across the fixed test set,diagnostic global q < 0.05,7,0.000785803,post hoc shape diagnostic; unequal elapsed time to P0 is not modelled; not independent confirmation,0,0.136235
S07,temporal-change diagnostic,adjacent-stage first differences of S02 profile,adjacent-stage first differences of usage profile,seven adjacent changes not divided by elapsed time,Pearson correlation with parametric t reference,one BH family across the fixed test set,diagnostic global q < 0.05,1,0.00297723,post hoc change diagnostic; E16.5-to-P0 interval is not time-scaled; not independent confirmation,0,0.136235
S08,influence diagnostic,S02 profile after omitting one stage,usage profile after omitting the same stage,seven retained stages per omission,eight leave-one-stage-out Pearson correlations,none; descriptive diagnostic,sign stability and reported range,not applicable,not applicable,detects single-stage leverage,not applicable,not applicable
S09,replicate-choice diagnostic,one independently sampled WGBS replicate per stage,one independently sampled RNA replicate per stage,stage; assays remain unpaired,"5,000 replicate-selection correlation draws for selected union",none; conditional diagnostic,95% interval and sign probability,not applicable,not applicable,propagates replicate choice without creating new stages,not applicable,not applicable
S10,scale/denominator counter-audit,S02 profile,absolute transcript and summed gene expression,developmental stage,Pearson correlation,candidate-level interpretation only,concordance required before mechanistic language,not applicable,not applicable,distinguishes isoform choice from total-expression composition,not applicable,not applicable
