"claim_id","manuscript_claim","authoritative_evidence","verified_value","universe_or_denominator","status","reviewer_boundary"
"PUB-C01","RNA archive design","dtu_analysis/tables/dataset_summary.csv; dtu_analysis/tables/transient_regional_scan_diagnostics.csv; ENCODE source-method citation","48 libraries; 3 regions x 8 stages x 2 biological replicates; 100-bp single-end","48 archived matrix columns","verified","Matrix-column suffixes cannot be linked to every public raw-file replicate identifier."
"PUB-C02","Shared expression universe and PCA inputs","dtu_analysis/tables/transient_regional_scan_diagnostics.csv; dtu_analysis analysis code","28,931 common isoforms; 1,500 most variable used for PCA","three unfiltered regional matrices","verified","PCA is descriptive archive structure, not raw-read quality control."
"PUB-C03","Archived regional DTU landscape","dtu_analysis/tables/dataset_summary.csv; dtu_analysis/tables/dtu_membership_counts.csv","2,268 forebrain; 2,258 hindbrain; 2,393 midbrain; union 2,749; three-region core 1,902; midbrain-only 474","archived within-contrast q<0.05 and absolute dIF>=0.10","verified","Membership is threshold-defined detection in at least one contrast, not biological tissue specificity."
"PUB-C04","Forebrain-hindbrain overlap","dtu_analysis/tables/audit_overlap_statistics.csv","2,251 shared genes; Jaccard 0.9894505","2,268 forebrain and 2,258 hindbrain calls","verified","Exceptional similarity raises archive-linkage concerns and is not independent regional replication."
"PUB-C05","Regional event-class similarity","dtu_analysis/tables/splicing_event_prevalence.csv","exon skipping 38.9%-39.7%; alternative starts 23.6%-24.1%; maximum regional difference below 0.9 percentage points","4,920 forebrain; 4,890 hindbrain; 5,312 midbrain DTU isoforms","verified","Annotations are non-exclusive and conditional on the archived selected sets."
"PUB-C06","E15.5-centred adjacent-stage anomaly","dtu_analysis/tables/adjacent_stage_counts.csv","midbrain 941 at E14.5-E15.5 and 1,011 at E15.5-E16.5; comparison-region counts 104-182","seven adjacent-stage contrasts per region","verified","E14.5-E15.5 crosses collection-source and pooled-versus-individual boundaries; both E15.5 libraries share processing context."
"PUB-C07","Transient-scan complete family","dtu_analysis/tables/transient_regional_scan_diagnostics.csv","12,517 isoforms; 4,577 multi-isoform genes; 24 region-stage cells; 300,408 component tests","12,517 x 3 region pairs x 8 stages","verified","The scan is post hoc, models estimated fractions one transcript at a time and has no episode-level FDR guarantee."
"PUB-C08","Primary transient episodes","dtu_analysis/tables/transient_regional_scan_diagnostics.csv; dtu_analysis/tables/transient_regional_episode_summary.csv","1,348 replicate-separated episodes in 735 genes; all midbrain; 1,203 single-stage E15.5 (89.2%); 145 other; 1,071 reciprocal episodes in 490 genes","1,348 primary episodes","verified","Replicate separation reuses the archive and does not establish biological origin."
"PUB-C09","Episode sensitivity","dtu_analysis/tables/transient_regional_sensitivity.csv; dtu_analysis/tables/transient_regional_dependence_sensitivity.csv","one-at-a-time settings 802-1,588 episodes; arbitrary-dependence analysis 852 episodes in 474 genes; same six programmatically highest-ranked genes","declared threshold specifications","verified","Sensitivity analyses are dependent reanalyses, not validation cohorts."
"PUB-C10","E15.5 structural counter-audit","dtu_analysis/tables/e155_episode_event_bias.csv; dtu_analysis/tables/e155_episode_length_summary.csv; dtu_analysis/tables/e155_episode_artifact_tests.csv","exon skipping 47.3% vs 38.2%; alternative starts 25.1% vs 23.8%; alternative ends 13.0% vs 10.3%; higher/lower medians 3,616/3,688.5 nt, P=0.627; sign-test P=0.318 across 405 genes","1,073 sequence/event-resolved E15.5 isoforms; 4,277 remaining midbrain DTU isoforms for event comparison","verified after wording repair","Alternative ends are modestly enriched and are now reported as such; these summaries cannot exclude sequence-specific quantification."
"PUB-C11","Leading candidate replicate-choice audit","dtu_analysis/tables/candidate_replicate_choice_audit.csv","all 12 expected accession directions persist in all 512 choices for six genes","2^9 replicate choices across 3 regions x 3 stages","verified","Same samples are reused; this is influence analysis, not replication."
"PUB-C12","Fixed methylation testing family and archived result","methylation_analysis/results/replicate_robustness_all.csv","11,002 rows; 131 archived q<0.05 rows representing 82 genes","fixed tissue-gene-isoform-region family","verified","Archived q-values were region-wise rather than one family across the displayed search."
"PUB-C13","Reconstructed parametric selections","methylation_analysis/results/replicate_robustness_all.csv","3 rows at minimum global q=0.0382298; 2 genes; overlap with archived 131 is 0","11,002-test parametric global BH family","verified","These are parametric selections from eight developmental association units, not mechanistic discoveries."
"PUB-C14","Stage-label randomisation result","methylation_analysis/results/replicate_robustness_all.csv; methylation_analysis/results/analysis_specification_table.csv","10,986 valid randomisation tests; 0 global selections; minimum q=0.0908234","exhaustive label assignments within each available profile","verified after terminology repair","Exact only under exchangeable stage labels; ordered developmental stages are not plausibly exchangeable, so this is sensitivity calibration."
"PUB-C15","Methylation specification sensitivity","methylation_analysis/results/replicate_robustness_summary.csv","0 unweighted and 0 strand-sensitive global selections; 7 detrended and 1 first-difference parametric selections; 0 corresponding randomisation selections","fixed complete families for each specification","verified","Transformed analyses are post hoc diagnostics with different estimands and do not restore serial dependence."
